postcode,suburb,state,dc,type,lat,lon
2000,DAWES POINT,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.855601,151.20822
2000,HAYMARKET,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.880777,151.202796
2000,MILLERS POINT,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.858315,151.203519
2000,PARLIAMENT HOUSE,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.867229,151.213051
2000,SYDNEY,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.867139,151.207114
2000,SYDNEY SOUTH,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.877718,151.205723
2000,THE ROCKS,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.859251,151.208782
2006,THE UNIVERSITY OF SYDNEY,NSW,SYDNEY UNIVERSITY LPO,Delivery Area                                ,-33.887926,151.186923
2007,BROADWAY,NSW,BROADWAY POST SHOP,Delivery Area                                ,-33.884366,151.196502
2007,ULTIMO,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.878416,151.197272
2008,CHIPPENDALE,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.886844,151.201715
2008,DARLINGTON,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.891348,151.191243
2009,PYRMONT,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.869709,151.19393
2010,DARLINGHURST,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.879825,151.21956
2010,SURRY HILLS,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.888821,151.213328
2011,ELIZABETH BAY,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.872829,151.226593
2011,HMAS KUTTABUL,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.867206,151.225205
2011,POTTS POINT,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.869026,151.225603
2011,RUSHCUTTERS BAY,NSW,WATERLOO DELIVERY FACILITY,Delivery Area                                ,-33.87624,151.228614
