postcode,pn
2170,2528
2560,2451
2795,2295
2830,2164
2800,2098
2650,2033
2680,1814
2340,1758
2570,1751
2259,1669
2250,1602
2770,1538
2450,1472
2145,1427
2320,1426
2540,1396
2148,1395
2567,1338
2261,1222
2756,1207
2176,1201
2444,1196
2168,1178
2155,1153
2480,1099
2287,1073
2750,1062
2747,1060
2330,1053
2200,1026
2325,1025
2171,1020
2153,994
2290,973
2230,963
2323,963
2144,911
2850,905
2234,900
2500,881
2760,875
2285,872
2566,861
2440,857
2161,849
2350,837
2196,833
2165,833
2280,831
2229,825
2530,813
2759,811
2745,808
2640,803
2430,797
2283,794
2160,793
2763,789
2147,787
2210,782
2251,779
2324,779
2529,747
2166,746
2190,745
2761,730
2580,728
2154,720
2527,697
2460,689
2233,672
2207,669
2456,668
2220,668
2262,659
2232,658
2528,656
2216,655
2260,651
2541,648
2333,645
2790,640
2322,638
2753,636
2263,615
2767,608
2749,605
2705,602
2571,587
2380,577
2257,572
2217,563
2213,562
2141,561
2565,555
2765,548
2142,546
2478,545
2321,540
2036,539
2575,534
2428,528
2099,522
2768,514
2536,513
2794,513
2035,506
2318,503
2026,499
2264,495
2594,489
2870,487
2780,484
2777,482
2281,482
2526,480
2289,477
2228,475
2577,470
2112,470
2390,463
2164,461
2223,458
2195,456
2162,450
2539,446
2224,445
2452,442
2075,442
2199,440
2211,440
2221,436
2533,432
2518,429
2074,426
2758,425
2519,424
2077,423
2558,417
2315,408
2150,407
2156,405
2282,405
2031,405
2564,400
2291,400
2871,399
2066,399
2400,395
2212,393
2046,392
2335,391
2209,389
2118,387
2304,387
2550,381
2766,376
2486,374
2117,373
2122,372
2000,371
2337,370
2880,368
2446,367
2502,367
2219,367
2205,363
2576,361
2137,361
2177,360
2135,358
2227,358
2076,352
2065,351
2537,342
2820,342
2641,342
2481,341
2360,340
2218,337
2121,335
2454,332
2300,331
2146,330
2151,329
2088,328
2284,327
2710,325
2206,323
2305,322
2774,321
2204,320
2010,319
2138,317
2470,316
2557,312
2326,312
2582,309
2034,309
2194,305
2125,303
2327,302
2018,301
2299,301
2040,301
2126,300
2208,298
2101,297
2127,296
2198,294
2517,293
2114,293
2017,288
2197,287
2525,286
2120,284
2821,277
2073,277
2173,276
2256,273
2508,271
2574,270
2158,270
2093,269
2020,269
2752,268
2100,268
2720,267
2192,266
2782,264
2590,259
2107,258
2799,256
2448,252
2506,252
2140,251
2222,251
2226,250
2429,248
2652,245
2447,245
2113,245
2484,244
2095,242
2535,240
2483,240
2852,239
2343,239
2477,238
2515,237
2179,235
2011,233
2111,231
2443,229
2573,229
2265,228
2319,228
2546,227
2298,227
2067,227
2769,224
2303,223
2431,221
2071,220
2572,218
2097,218
2835,216
2621,216
2787,216
2663,215
2068,213
2042,210
2193,208
2441,206
2700,205
2030,205
2316,201
2041,201
2131,200
2779,199
2167,198
2115,197
2754,196
2445,195
2085,194
2032,193
2070,193
2357,192
2152,192
2163,191
2534,190
2630,188
2548,188
2832,187
2295,187
2370,186
2877,185
2106,184
2829,183
2143,182
2642,181
2110,180
2069,178
2388,178
2666,177
2096,177
2317,175
2556,174
2033,172
2021,171
2019,170
2482,169
2060,169
2258,168
2134,165
2016,164
2037,164
2866,163
3644,162
2810,162
2422,161
2086,161
2009,161
2646,160
2579,160
2159,159
2119,158
2474,157
2203,157
2785,156
2487,155
2079,155
2103,155
2505,154
2286,153
2834,151
2047,151
2133,150
2087,149
2827,148
2334,148
2681,147
2089,147
2015,146
2671,145
2420,144
2831,142
2090,142
2178,141
2225,141
2776,139
2711,138
2354,138
2023,136
2464,133
2804,133
2722,133
2479,130
2665,129
2516,128
2840,126
2485,124
2022,124
2583,123
2044,122
2038,122
2365,122
2773,121
2489,120
2049,120
2358,120
2157,120
2050,117
2825,116
2622,116
2762,116
2136,116
2306,116
2336,116
2024,115
2463,113
2329,113
2039,113
2713,112
2627,111
2328,111
2132,110
2102,110
2701,109
2072,109
2549,106
2346,106
2778,105
2278,105
2352,103
2008,103
2062,102
2063,102
2798,101
2845,100
2587,100
2586,100
2025,100
2048,99
2453,98
2578,98
2081,98
2824,97
2653,97
2045,97
2116,97
2675,96
2783,96
2307,96
2082,96
2844,94
2748,93
2455,93
2191,93
2092,93
2847,92
2084,92
2559,91
2027,91
2423,90
2104,89
2061,89
2471,88
2707,88
2551,86
2425,85
2651,84
2231,84
2064,84
2029,84
2382,83
2292,83
2469,81
2669,81
2267,81
2714,79
2672,79
2706,77
2643,77
2569,76
2293,76
2848,75
2007,75
2214,75
2538,74
2869,74
2421,74
2381,74
2347,74
2130,72
2839,71
2658,71
2823,71
2175,71
2439,69
2043,69
2843,67
2094,67
2849,65
2473,64
2655,64
2449,64
2028,64
2172,63
2338,63
2472,62
2296,62
3585,61
2581,60
2644,60
2372,59
2729,58
2427,56
2462,55
2786,55
2656,55
2660,55
2105,55
2341,54
2731,52
2402,52
2716,48
2712,47
2488,47
2702,47
2294,47
2628,46
2828,45
2730,45
2128,45
2648,44
2865,44
2703,43
2775,43
2784,43
2395,43
2404,42
2806,41
2793,41
2080,41
2396,41
2757,40
2868,40
2715,40
2311,40
2312,39
2083,39
2864,38
2875,38
2717,37
2842,36
2339,36
2369,36
2108,36
2738,35
2545,35
2568,35
2345,35
2174,34
2297,34
2632,33
2833,33
2001,33
2807,30
2359,30
2659,29
2867,29
2647,28
2668,28
2386,27
2805,26
2466,26
2124,26
2397,26
2409,26
2353,26
2737,25
2876,24
2371,24
2584,23
2403,23
2623,22
2379,22
2739,21
2555,21
2406,21
2751,20
2874,20
2797,20
2732,20
2342,20
2588,19
2818,19
2426,19
2846,19
2631,19
2873,19
2563,19
2344,19
2355,19
2878,18
2791,18
2809,17
2405,17
2626,16
2727,16
2059,16
2399,16
2625,15
2836,15
2361,15
2476,14
3707,14
2520,14
2725,14
2792,14
2726,14
2645,13
2879,13
2733,13
2415,13
2401,12
2308,12
2351,12
2721,11
2302,11
2387,11
2803,10
2475,10
2398,10
2585,9
2356,9
2057,9
2458,8
2129,8
2465,7
2633,7
2408,7
2629,6
2838,6
3586,6
2252,6
2309,6
2314,6
2424,6
2678,5
2490,5
2348,5
2410,5
2451,4
2736,4
2764,4
2735,4
2743,4
2288,4
2254,4
2012,4
2755,3
2524,3
2826,3
2796,3
2661,3
2521,3
2522,3
2554,3
2236,3
2002,3
2055,3
2331,3
2215,3
2899,2
2562,2
2442,2
2514,2
2772,2
2808,2
2860,2
2708,2
2686,2
2512,2
2740,2
2637,2
2890,2
2649,2
2592,2
2624,2
2310,2
2123,2
2240,2
2376,2
2202,2
2139,2
2238,2
2188,2
2332,2
2926,1
2507,1
2662,1
2690,1
2884,1
2494,1
2970,1
2497,1
2771,1
2435,1
2670,1
2814,1
2895,1
2591,1
2940,1
2693,1
2999,1
2853,1
2504,1
2788,1
2841,1
2837,1
2434,1
2510,1
2881,1
2746,1
2724,1
2688,1
2636,1
2734,1
2932,1
2467,1
2965,1
2599,1
2980,1
2542,1
2509,1
2742,1
2503,1
2697,1
2468,1
2598,1
2561,1
2239,1
2268,1
2201,1
2052,1
2078,1
2184,1
2180,1
2183,1
2003,1
2245,1
2006,1
2266,1
2383,1
2237,1
2277,1
2185,1
2414,1
2235,1
2187,1
2056,1
2269,1
2253,1
2014,1
2349,1
2189,1
