postcode,PN
2170,9862
2560,6074
2795,3197
2830,2778
2800,3081
2650,3008
2680,2032
2340,2673
2570,3294
2259,4740
2250,5205
2770,5210
2450,2823
2145,6515
2320,2752
2540,2804
2148,5698
2567,3025
2261,3917
2756,3049
2176,4767
2444,2501
2168,3989
2155,4597
2480,2168
2287,2496
2750,3694
2747,3688
2330,1674
2200,5299
2325,1853
2171,3447
2153,4996
2290,2367
2230,3086
2323,1960
2144,4333
2850,1270
2234,3316
2500,3609
2760,3017
2285,1950
2566,2390
2440,1559
2161,4136
2350,1216
2196,4137
2165,3808
2280,2085
2229,2911
2530,2076
2759,2841
2745,2553
2640,996
2430,1781
2283,1695
2160,4394
2763,2685
2147,3148
2210,2983
2251,2322
2324,1609
2529,2118
2166,4063
2190,3705
2761,2462
2580,1128
2154,3901
2527,1487
2460,1232
2233,2062
2207,2821
2456,1347
2220,3121
2262,1671
2232,2644
2528,2022
2216,3513
2260,1995
2541,1414
2333,1191
2790,1080
2322,1413
2753,1612
2263,1785
2767,1949
2749,1619
2705,687
2571,1033
2380,739
2257,1935
2217,2844
2213,2079
2141,2963
2565,1656
2765,1427
2142,2938
2478,1344
2321,1016
2036,3701
2575,1120
2428,1669
2099,3683
2768,2233
2536,810
2794,693
2035,4855
2318,905
2026,5247
2264,1079
2594,636
2870,724
2780,1118
2777,1443
2281,1251
2526,1478
2289,1130
2228,1744
2577,956
2112,3349
2390,596
2164,2112
2223,1785
2195,2798
2162,1968
2539,891
2224,1647
2452,817
2075,1924
2199,1998
2211,1747
2221,1898
2533,1204
2518,1594
2074,2045
2758,910
2519,1524
2077,3008
2558,1044
2315,961
2150,2601
2156,1438
2282,977
2031,4135
2564,1132
2291,1159
2871,518
2066,2876
2400,555
2212,1649
2046,2798
2335,623
2209,1645
2118,2208
2304,1064
2550,529
2766,1167
2486,857
2117,2146
2122,3107
2000,3619
2337,689
2880,399
2446,664
2502,1119
2219,1633
2205,1929
2576,918
2137,2828
2177,1604
2135,3023
2227,1345
2076,2231
2065,2587
2537,529
2820,436
2641,433
2481,1179
2360,487
2218,1560
2121,2374
2454,592
2300,1085
2146,1338
2151,1947
2088,3064
2284,735
2710,350
2206,1974
2305,792
2774,1033
2204,2190
2010,3129
2138,2337
2470,547
2557,651
2326,565
2582,408
2034,2960
2194,2388
2125,1737
2327,575
2018,1900
2299,876
2040,2217
2126,1646
2208,1477
2101,2355
2127,1389
2198,1084
2517,1109
2114,2023
2017,2502
2197,1110
2525,1021
2120,1841
2821,344
2073,1904
2173,1120
2256,965
2508,765
2574,468
2158,1154
2093,2068
2020,1791
2752,502
2100,1936
2720,332
2192,1679
2782,549
2590,325
2107,1926
2799,344
2448,514
2506,717
2140,1424
2222,1168
2226,938
2429,457
2652,310
2447,442
2113,1967
2484,616
2095,2000
2535,522
2483,639
2852,291
2343,321
2477,535
2515,1062
2179,568
2011,2376
2111,1743
2443,443
2573,380
2265,592
2319,425
2546,376
2298,558
2067,2029
2769,738
2303,658
2431,369
2071,1372
2572,365
2097,1629
2835,252
2621,273
2787,328
2663,275
2068,1361
2042,1604
2193,1438
2441,374
2700,254
2030,2148
2316,434
2041,1830
2131,1665
2779,442
2167,696
2115,1196
2754,473
2445,361
2085,916
2032,1671
2070,1240
2357,243
2152,992
2163,1075
2534,440
2630,258
2548,257
2832,218
2295,398
2370,257
2877,258
2106,1350
2829,235
2143,895
2642,205
2110,1251
2069,1254
2388,228
2666,220
2096,1574
2317,399
2556,350
2033,1396
2021,1837
2019,1284
2482,483
2060,1294
2258,553
2134,1375
2016,1280
2037,1399
2866,231
3644,188
2810,203
2422,305
2086,985
2009,1555
2646,184
2579,269
2159,621
2119,1067
2474,234
2203,1208
2785,342
2487,364
2079,581
2103,1280
2505,460
2286,305
2834,182
2047,1316
2133,1060
2087,888
2827,180
2334,254
2681,155
2089,1389
2015,1282
2671,183
2420,253
2831,184
2090,1314
2178,408
2225,479
2776,389
2711,156
2354,195
2023,1454
2464,340
2804,175
2722,155
2479,389
2665,140
2516,473
2840,157
2485,367
2022,1735
2583,173
2044,785
2038,880
2365,160
2773,452
2489,242
2049,966
2358,165
2157,436
2050,780
2825,143
2622,201
2762,327
2136,951
2306,259
2336,211
2024,1441
2463,265
2329,165
2039,1104
2713,133
2627,182
2328,191
2132,842
2102,797
2701,143
2072,753
2549,135
2346,139
2778,221
2278,217
2352,153
2008,826
2062,670
2063,583
2798,146
2845,159
2587,123
2586,124
2025,1210
2048,618
2453,153
2578,184
2081,433
2824,138
2653,123
2045,722
2116,637
2675,113
2783,236
2307,265
2082,413
2844,120
2748,251
2455,180
2191,740
2092,804
2847,145
2084,387
2559,255
2027,1279
2423,216
2104,420
2061,697
2471,145
2707,95
2551,121
2425,144
2651,107
2231,235
2064,738
2029,1375
2382,90
2292,204
2469,155
2669,94
2267,203
2714,94
2672,91
2706,86
2643,82
2569,138
2293,226
